gpu,n_gpu,concurrent_users,kwh_per_mtok,kwh_per_mtok_tdp
H100 PCIe,1,1,2.7529,2.3076
H100 PCIe,1,10,0.3479,0.2881
H100 PCIe,1,50,0.1866,0.1526
H100 PCIe,1,100,0.1765,0.1457
H100 PCIe,2,1,1.781,2.7245
H100 PCIe,2,10,0.2506,0.3765
H100 PCIe,2,50,0.0819,0.1232
H100 PCIe,2,100,0.0665,0.1
H100 PCIe,4,1,1.5285,4.1346
H100 PCIe,4,10,0.3834,1.0102
H100 PCIe,4,50,0.1442,0.383
H100 PCIe,4,100,0.1143,0.3046
H100 PCIe,8,1,2.5655,11.0089
H100 PCIe,8,10,0.5295,2.2234
H100 PCIe,8,50,0.283,1.2078
H100 PCIe,8,100,0.2026,0.8637
H200 NVLink,1,1,2.1624,2.2949
H200 NVLink,1,10,0.2908,0.3062
H200 NVLink,1,50,0.1032,0.1088
H200 NVLink,1,100,0.0861,0.0911
H200 NVLink,2,1,2.3343,4.6132
H200 NVLink,2,10,0.2812,0.5474
H200 NVLink,2,50,0.1605,0.3176
H200 NVLink,2,100,0.0825,0.1616
H200 NVLink,4,1,1.3447,4.6341
H200 NVLink,4,10,0.2302,0.7832
H200 NVLink,4,50,0.0999,0.3428
H200 NVLink,4,100,0.0773,0.2642
H200 NVLink,8,1,1.8535,10.454
H200 NVLink,8,10,0.3119,1.7563
H200 NVLink,8,50,0.1571,0.8864
H200 NVLink,8,100,0.1021,0.5761
